,summoner_name,league_points,puuid
36,TheMagykal,481,UsiShYgxH3X5_pNeJjE-EpBhbR4vevorLcs83aI8ZSQFaZJSt_EMVE0mVh8GVw1kumufkVlabCMKbA
37,Mean Mister Kien,472,VyCpwiJ3MifHEREwjj0cSAXHQIjFGd7UtWMBG9ZvCdlGson5kPoPQUmEDyIc7WAuUva7OzOxpwKjlA
38,TTV Kenya1,465,YHXpyLACMkqCEk4gSrIi0jKK7YtdAG1U48W1UhAehHbLDgBtIxQGaUA4SiGdii5oRrcxRViIb7KfPQ
39,TwoBiers,462,-2DD8GZmsdDZ5VD8XogYiYL19B7IvLqFiMzwVaG53x6wyJau_gv6DuubzeNveGlhN6Rzz-iMzC6YiQ
40,TheHentaiGod,456,PsFXIqw-vBoBrO6m1ziT4-Krl8MqY0DX50e_kdENPibI_TmrFbDR3jZdX_TvJF87b26kU37vbfrPEQ
41,Razorkill,442,OFxJtkosNBUDPbEAQnzP9GIi_Qd791dswMCnrNIbqrYOUEKuRRrnWMcbXArBBOKRY_B63vKNPED0VA
42,Live for the Day,434,tM2Y91gO3kMfxkW6wl_ZBTFP6et6GHwfcg8JY5XEU5pCkW_-fB3phRRkpt5Z5l-MPF3FmlxF-F1wzQ
43,DeadlyCO2,432,XbaMlVDN-P0lc8Z8PeBnqAsYAyc_J9miRyr9aoa5Cc-nrO1tVutYToXFOWhM_tDmO7d_wz-XtK-tMg
44,Hafu,424,sQX3qOsfZanR-HDvAFeA0D2FNeNYnY7tnIjreF6OVw95lVMhyyzfoH1oWTFFGZohb5N7ZMIH9s-D3g
45,Keane tft,417,05K7waY0KCutgqYr1MMprfz831SlgXGa6lrS2W4suedL60MYP1v7RL4O28rw1NIx2nfW6RIKgjFaxw
46,YesIWantSomeTea,411,9x_y1GgHH3IjqV9bAzPWrM0x_0Y20FLr3CcefePZPcZ7mOz8lI5ssV3-oF85kt4GSLIZTz1Xxcwitw
47,QwadGawd,405,p6mmOt-5JEdLam4pSVU_FOOeeYy_1Bxuob7B-bxTmnPoegLJpFrqc4SL1rehyKz6JpLBjZwo2AGUtg
48,Forest Hermit,396,qW9dhUvXTkYA1IOjPg1L-KoL4zw4EvQxdxqLiP5qJ1vogPb7xcwJMimQW8-9WTI4NtsGrUlyZ4cCCg
49,Twitch Josepao1o,361,GBkecNlSd0gE7KxMd30qEJpyTXzrGrernnzSrpagjNj2kvR8LKMniM9jfX18Xdg3T6WgZ_ZBej2P_A
50,influrrier,355,7CqYYsxGsZ5yCgooHfKMcSHi9qJ1h4gjb-H61TFCpRuBx1Kxa_Wr0kkpxophAC_0LHAzCPgyBNipcg
51,El ChapoSticks,348,CPu9b_FeYBNR8kj-Iohrx0EW8iGRfNwrbi2jfB88LVg08KEs_VAyrVqHYeuETzfDAhhOxvUOa6qx2g
52,FluffyHS,347,zfppekIbqBkisJITudni1vMEIbzDzgeNk34SO8L9LTgT85d66WI-71-6yQS5Tl27SE58EdJ4N_5JYA
53,TwTv Rokuyo,343,ygUWr-EUXClGNIqoW90gBBve5-13mTNY0CwsACJlFwRCxLtSxC1eZVp8tb6u6JCF7KJ7ko1Qvwa_KA
