,summoner_name,league_points,puuid
159,Scoped32,153,jWAkL3q6QfUo0VtUgksS5Mg1Gew76nJOk_BWx2VKzlolSE89A9MQFQ4sw3gQltwxIqiZglN8L6kpdg
160,Xu Keke,153,hEH7eIl1m7Ir-Uuu_kO9LzvacttWjvIZjgxYgBc8GasH6nHKKWhg8BE3HgmTH7bzB1YVLCm_MMmeJA
161,Sojii,152,v_zfUhHCD2lPbPrKE5GaxnTkaoY_VuIuUqp4wTKtoa19nRa6SwRtsUa5UpHsCzU0rCTMTdEhEzz_Qg
162,flanne,152,mVsz80K-XvAzToP3khvDEm0ZGXyK9DBMcyg-yyc9pLdFTXxgm_DlXJrk1bkIrV9jq9M6yBQauvhy4Q
163,F1 Flow,150,it0oaLZGsfkbiJoy3Cw-Tfcx4DCBN6lX0IJsOsf8cIf5QYlGu7DO4068wHAuHPkDvqLOZeelGhyYWQ
164,Lion,150,5oIpKzf0CSEF-Wl-6uumu5kgU38tWzQTEavQ6QyncubXimxkHP5YQe_-B7-VVAkwfe7KKVNSnq698A
165,3daysc1,149,d5gbuTWsCgw8Xze47jXbij3o1Ey2TwyZm7_IcS8G3X96GsULCDeS2GTUONXS1FP8hE1oKn9lG9YQjw
166,WakaWakaWaka,149,wCgN-n7TkdFgfksjaXCeUegwIKm-kQHp8beJs9W2-sHoQNXaJU7lGVmRqRoUrfeX4TYBST2HBSQz7w
167,Stompalittle,149,En_vTjt7Dmn9Xi8uWl2N_OBZZxjXwzFXBJUx3JkBI05j0Q09X8t955ejoS0OKx-AXHCdy-OEyAToog
168,yoohyeon fanclub,148,ELtY718rHfroXSGxxjTLh35qHtSQhlp2f4K50eq2xOtHbl8WfnebDYiWQ2AffTgeFwxPsRcXh6yyAA
169,George Brown,146,Bkav-WuyOGCgB9PPicOIEoJ6MSsdwIh9QCezy0FLTG3FAtG0f32dPxFr9NYlq2Paav1723WiZT4vgQ
170,Youaresopretty,145,iYT_SNOWag-SHHKNNKyvcpDv8yf7ndMkKzDDSrBgUdWjOt6TnZN5bTHDxem9xhCGOLk0Gb954dkZyA
171,zugrug,145,dRn--Y6uAd3v6QO-htPxckkm7fHMWCBu9G6Ph9uadOOi-FsiJ8_6FVr5vzkJYfhQXDNVScwwymo-Ig
172,WhySofaKing,145,SFfi5lALgAwMQhcByxdAuRfEO_e7hREkUa03yTGOWKyFQ7-7XLAE-vjfIc-4vxGTRuMillQqxjnRCw
173,ajmonsta,145,J80YaRjROxYL_h8kjXTB0PpWMpTKxGjtQOC42VGKOUgquGYeaSaCRCrJQs8ry1oWWxTlsj_gHdUdIg
174,Kinase2,144,GfGaXPvVRFmX3m-OWEubdNPIDRGdSBIvQcxGHzDP4Y015fepGnP-Fwm1VmLYqwqjvTJXqBYn87leKA
175,Mikuya,143,6puGguwOx9xb_FPl9JtouskpxTTvU_OJA979FJbZvAj2Q-N9AoFp7q_xpdXfapvB6KJggdQytyPMBw
176,Obbu,142,6b0PF4sNhwKPBDhV6X_JT0qaZjRvl4BJjvBKXjit6QBKHZd2Bu52VvyZQCKlpLcpgtq39ce5UoZNRg
177,adelie,141,9ad-Aug-um2Itwyr2FBoa421zIQr_yAFTKmSBZB0vEAy7uxiVqgOq1gS9kYpJdPDyy46im4lImzqAA
178,Jeff Young,141,fpOuErhjXfE3MWBKTlBKOoqvpgKg11_3mEfGtez2r0U_wnf1FBYI8GzH2NW5rtKIjUL3Bvmhq8_tkg
179,suddenly heart,140,aVCyjEDR5WvYJTio2gxYs65z0vWWLSMSu1VZCUAGzUA9Cx5BnenGYr0hMbGwetJxyMnFbty0_kIhBA
180,Âzarin,140,wTc8lybbAScRF77ickCaPFPg0u0skqF6p4U6Tx8npazUyu5sc_n5dgkprNJlwQE5FWO0OwIHMx4giw
181,Zadust TFT,139,RfRVCUMHyrILEf2foRMbAULMvNShUYlfjhyoXmaPmRq24K5BfHVKCoPcMUKSn-2FEwXUYk3PA-VlEg
182,andrew tilts,139,ciU8zYaOdT5xQ8ziU1ERyBQPO0Vcr54jALH9G49ikfelzuRWx970QkosNI2LaUiUlA3LH64Dp29b_g
183,Governance,138,gwsMyC_QId8U6Gary5yzYEpiyivebISKpjGKKOWgxp8-v0rrkEGJiFv6zH90tzm9BAL4TS6UO1Ww5w
184,IGtI,138,7-2rEFyjGMDrYEioVgf-lyeL1q08kBlNrZxkesJeTy0uePulITTj4VrTZFUJcBjx8YgtUboG0E-0NA
185,BabyKoi,136,1fv-r7EqO4tSxMIEBiukilFEz8_ZEQYHFVD-y8cjfUwmZAEJ-tf0Z6fSxoiUnpk_MOYnilgvXkj0ag
186,Kenshin3225,136,0tL0APDZb6Q4RuL0jOLSyV7igv4OKVIA7zan7C_mHIvTOUGSHWu70MTRVdOc8-A2aV5VODgra2IuxQ
187,running 300golds,135,hAOu4zP-aPb88CCL-W0Nxm_78xfgo_vQMNYjtAz8qu7TvUyteK-LWS9JbgS0Yywat7W9FlZGxTmx8A
188,seyyy,134,wSpIb59Mk9pLzEl8wrE7NZT1J7viw6FLLC8joZV9ceuiY2b5dIoL-43TRmkKzLZeyJq-1t1d9beIyA
189,Fomw,134,FFrShJBwtUkQ2XonxUOeQ0Klbm9qqnjSTRMTj1jyBUI5mk05CmyrcfAT7ePSBo9mtgTBdMVZXRHX_A
190,scarra,133,U198fhJguFcmGm2XhtFnuBwm7LqNDnbj4QM6EoVaA6BY6LzeWjSyM_AG2UMOOhI1ywTCVlFBUuaxhQ
191,TipFT,132,EtZ3iJPmtdhqHLl-VdYC8dguuR0dLtzx5K4KWyjR6kBDU_iEn4rUCVr_dwj2s9Usq3P-gVhLxFmr0A
192,TTV DonKadabra,131,BKWDW1kgsZb7WGqQcPbF_6Hg-HJ2cMTZv4FGb1jALIOBvmdP3lNd8so786NpKgHM89y7A7eHKgDCkQ
193,asdfkeyboard,130,foLnnS_KUAz6hm46EfJS34cqPT6hOBhTZIGMd-nNV2ecb4M-ZNefrsv8x-ERkynIhAAKN3M0XG8XTQ
194,Knight of Five,124,4Jdfp1k0WgX1TRcCYwoT-x62I5jMLoeSzkbP4qqZ28FESmGtRpZWh3JxXz_at0xfIJplraAO_sPjiQ
195,Ex Railgun,120,bFQ1v3MkwLuFtOmmU1JgwQu-TE7w2LAa6ihU-zSSoqcXwLQpgeuUk29efs4d4wMWd6Ci63HzZyjy8A
196,Azumo,114,zqelCdkKSSNGoCJA9msW7sP-wmzIW0HPG8b8ElUMwLCIMlDTxkQbJzjvt0gGD-d2XOkwS-hNi4-BFQ
197,Vitamnss,92,0IwarPYZlbthvgi20PEDEubOGEPs2G6dQLxcgZ-C6NHYwl9DyWhCC4Ps0fC38txGTiutJhnfqKmTfw
198,firest0ne,77,Wnwf5-10yZz4KMzWFXYf4F3y0um3PLAqYwFhVg3lJe0IkoP8fkuE_BiWW9nNY6IFs38AgEELS6pNPw
199,GreenbeingTFT,59,MmQ9S18WFQcAwNH1zAFuoiJeTKj9S0KYe6dl6Fe2YVuQkMvsNX3uHKYCM97gqlic-rHCiZE5czr4sQ
