,puuid,match_id
0,OkaQSLZuy-FUjgfc_a770gWAvOtn5WLYcBN7toyVLJsc1djhBqxsj360DcaldQDCukF_G9PButnSFg,NA1_3249805878
1,OkaQSLZuy-FUjgfc_a770gWAvOtn5WLYcBN7toyVLJsc1djhBqxsj360DcaldQDCukF_G9PButnSFg,NA1_3249791129
2,OkaQSLZuy-FUjgfc_a770gWAvOtn5WLYcBN7toyVLJsc1djhBqxsj360DcaldQDCukF_G9PButnSFg,NA1_3249755964
3,OkaQSLZuy-FUjgfc_a770gWAvOtn5WLYcBN7toyVLJsc1djhBqxsj360DcaldQDCukF_G9PButnSFg,NA1_3249723025
4,OkaQSLZuy-FUjgfc_a770gWAvOtn5WLYcBN7toyVLJsc1djhBqxsj360DcaldQDCukF_G9PButnSFg,NA1_3249669510
5,OkaQSLZuy-FUjgfc_a770gWAvOtn5WLYcBN7toyVLJsc1djhBqxsj360DcaldQDCukF_G9PButnSFg,NA1_3249684144
6,OkaQSLZuy-FUjgfc_a770gWAvOtn5WLYcBN7toyVLJsc1djhBqxsj360DcaldQDCukF_G9PButnSFg,NA1_3249649226
7,OkaQSLZuy-FUjgfc_a770gWAvOtn5WLYcBN7toyVLJsc1djhBqxsj360DcaldQDCukF_G9PButnSFg,NA1_3249626838
8,OkaQSLZuy-FUjgfc_a770gWAvOtn5WLYcBN7toyVLJsc1djhBqxsj360DcaldQDCukF_G9PButnSFg,NA1_3249632525
9,OkaQSLZuy-FUjgfc_a770gWAvOtn5WLYcBN7toyVLJsc1djhBqxsj360DcaldQDCukF_G9PButnSFg,NA1_3249610463
10,PY8453ZFDl78q0BN6ZsYU8m4U7E-4Sr2y6YcT5lNeo0th-3AuXRBb9RwGkwkUEO4ongZnqJq7d6WuQ,NA1_3250278443
11,PY8453ZFDl78q0BN6ZsYU8m4U7E-4Sr2y6YcT5lNeo0th-3AuXRBb9RwGkwkUEO4ongZnqJq7d6WuQ,NA1_3250277431
12,PY8453ZFDl78q0BN6ZsYU8m4U7E-4Sr2y6YcT5lNeo0th-3AuXRBb9RwGkwkUEO4ongZnqJq7d6WuQ,NA1_3250305049
13,PY8453ZFDl78q0BN6ZsYU8m4U7E-4Sr2y6YcT5lNeo0th-3AuXRBb9RwGkwkUEO4ongZnqJq7d6WuQ,NA1_3250303798
14,PY8453ZFDl78q0BN6ZsYU8m4U7E-4Sr2y6YcT5lNeo0th-3AuXRBb9RwGkwkUEO4ongZnqJq7d6WuQ,NA1_3250283349
15,PY8453ZFDl78q0BN6ZsYU8m4U7E-4Sr2y6YcT5lNeo0th-3AuXRBb9RwGkwkUEO4ongZnqJq7d6WuQ,NA1_3250263311
16,PY8453ZFDl78q0BN6ZsYU8m4U7E-4Sr2y6YcT5lNeo0th-3AuXRBb9RwGkwkUEO4ongZnqJq7d6WuQ,NA1_3250248383
17,PY8453ZFDl78q0BN6ZsYU8m4U7E-4Sr2y6YcT5lNeo0th-3AuXRBb9RwGkwkUEO4ongZnqJq7d6WuQ,NA1_3250236114
18,PY8453ZFDl78q0BN6ZsYU8m4U7E-4Sr2y6YcT5lNeo0th-3AuXRBb9RwGkwkUEO4ongZnqJq7d6WuQ,NA1_3250233154
19,PY8453ZFDl78q0BN6ZsYU8m4U7E-4Sr2y6YcT5lNeo0th-3AuXRBb9RwGkwkUEO4ongZnqJq7d6WuQ,NA1_3250175447
20,zdUfZ0_rhBEI-Gx6ai33CxZyCZymPuL0HvZEBSTAw762LhfNNT5-ejcng-X6Nc8hT7T0miZXv0xXLQ,NA1_3250061366
21,zdUfZ0_rhBEI-Gx6ai33CxZyCZymPuL0HvZEBSTAw762LhfNNT5-ejcng-X6Nc8hT7T0miZXv0xXLQ,NA1_3250014081
22,zdUfZ0_rhBEI-Gx6ai33CxZyCZymPuL0HvZEBSTAw762LhfNNT5-ejcng-X6Nc8hT7T0miZXv0xXLQ,NA1_3249929063
